,sample,factor,value,group
1,38M1,Factor1,0.749037861824036,group1
2,84M1,Factor1,-0.851274609565735,group1
3,61M1,Factor1,1.00894176959991,group1
4,53M1,Factor1,1.5830295085907,group1
5,62M1,Factor1,0.0900102034211159,group1
6,39M1,Factor1,-0.914877593517303,group1
7,14M1,Factor1,-1.00944352149963,group1
8,103M1,Factor1,-0.753085076808929,group1
9,49M1,Factor1,0.0867278501391411,group1
10,52M1,Factor1,0.383817672729492,group1
11,73M1,Factor1,-1.05886948108673,group1
12,91M1,Factor1,0.877004384994507,group1
13,5M1,Factor1,-0.653965532779694,group1
14,46M1,Factor1,-1.02575480937958,group1
15,9M1,Factor1,1.26155924797058,group1
16,93M1,Factor1,0.184340298175812,group1
17,50M1,Factor1,0.140568256378174,group1
18,63M1,Factor1,-0.819165766239166,group1
19,33M1,Factor1,0.721577763557434,group1
20,38M1,Factor2,-0.207805946469307,group1
21,84M1,Factor2,1.54002296924591,group1
22,61M1,Factor2,-0.00538264820352197,group1
23,53M1,Factor2,-0.0778319761157036,group1
24,62M1,Factor2,-0.0432834252715111,group1
25,39M1,Factor2,-0.0741094201803207,group1
26,14M1,Factor2,-0.0670473128557205,group1
27,103M1,Factor2,-0.0318471603095531,group1
28,49M1,Factor2,-0.0616418905556202,group1
29,52M1,Factor2,-0.0209791157394648,group1
30,73M1,Factor2,-0.0987412706017494,group1
31,91M1,Factor2,-0.0579938478767872,group1
32,5M1,Factor2,-0.119096010923386,group1
33,46M1,Factor2,-0.0737478584051132,group1
34,9M1,Factor2,-0.12665618956089,group1
35,93M1,Factor2,-0.0853468477725983,group1
36,50M1,Factor2,-0.0733643770217896,group1
37,63M1,Factor2,-0.0412458442151546,group1
38,33M1,Factor2,-0.106218300759792,group1
39,38M1,Factor3,0.0649835094809532,group1
40,84M1,Factor3,0.0157943721860647,group1
41,61M1,Factor3,0.648428082466125,group1
42,53M1,Factor3,0.0353890545666218,group1
43,62M1,Factor3,-0.0263350661844015,group1
44,39M1,Factor3,0.0775269493460655,group1
45,14M1,Factor3,0.00918612908571959,group1
46,103M1,Factor3,0.07684176415205,group1
47,49M1,Factor3,0.0469952300190926,group1
48,52M1,Factor3,0.0302741173654795,group1
49,73M1,Factor3,0.105157390236855,group1
50,91M1,Factor3,0.0402110069990158,group1
51,5M1,Factor3,0.157766193151474,group1
52,46M1,Factor3,0.0935590416193008,group1
53,9M1,Factor3,0.0990583077073097,group1
54,93M1,Factor3,0.0264708884060383,group1
55,50M1,Factor3,-1.70042753219604,group1
56,63M1,Factor3,0.0199495498090982,group1
57,33M1,Factor3,0.0407048389315605,group1
58,38M1,Factor4,1.72743737697601,group1
59,84M1,Factor4,0.163703218102455,group1
60,61M1,Factor4,-0.474664360284805,group1
61,53M1,Factor4,-0.0443209521472454,group1
62,62M1,Factor4,0.022803520783782,group1
63,39M1,Factor4,-0.0683654472231865,group1
64,14M1,Factor4,-0.0190893448889256,group1
65,103M1,Factor4,-0.0562253296375275,group1
66,49M1,Factor4,-0.0593909062445164,group1
67,52M1,Factor4,-0.0700822770595551,group1
68,73M1,Factor4,-0.107994362711906,group1
69,91M1,Factor4,-0.168382748961449,group1
70,5M1,Factor4,-0.175921425223351,group1
71,46M1,Factor4,-0.127176880836487,group1
72,9M1,Factor4,-0.174554601311684,group1
73,93M1,Factor4,-0.0801142603158951,group1
74,50M1,Factor4,-0.220437973737717,group1
75,63M1,Factor4,-0.034784022718668,group1
76,33M1,Factor4,-0.0419177301228046,group1
77,38M1,Factor5,-0.109105788171291,group1
78,84M1,Factor5,0.409581273794174,group1
79,61M1,Factor5,-0.513294279575348,group1
80,53M1,Factor5,0.0604664236307144,group1
81,62M1,Factor5,-0.282794415950775,group1
82,39M1,Factor5,-0.173950299620628,group1
83,14M1,Factor5,-0.0998693257570267,group1
84,103M1,Factor5,-0.00557644246146083,group1
85,49M1,Factor5,-0.256071984767914,group1
86,52M1,Factor5,-0.236307129263878,group1
87,73M1,Factor5,0.00707913003861904,group1
88,91M1,Factor5,-0.104001179337502,group1
89,5M1,Factor5,-0.551928699016571,group1
90,46M1,Factor5,-0.210615858435631,group1
91,9M1,Factor5,0.0741557031869888,group1
92,93M1,Factor5,-0.0428933054208755,group1
93,50M1,Factor5,-0.032369576394558,group1
94,63M1,Factor5,0.842186987400055,group1
95,33M1,Factor5,1.22539174556732,group1
