ID,Group_1,Group_2,Group_3,Nest_attendance_P1_5_scaled,LG_P1_5_scaled
68F1,1,0,0,-0.856697,-0.250522
93F1,1,0,0,0.644144375,0.9681325
33F1,0,0,0,0.113303,0.400842
39F1,0,1,0,1.996667,1.244134
63F1,0,0,1,-1.0230915,-2.0808
61F1,0,0,1,-0.580716,1.283448
49F1,0,0,0,2.085406875,1.338215
58F1,1,0,0,1.364054375,-0.810735
14F1,1,0,0,1.0945695,2.155164
100F1,0,1,0,0.4153325,0.275874
38F1,0,1,0,-0.8649415,1.036666
73F1,1,0,0,0.1709945,0.4722
46F1,0,0,1,-0.2527095,0.602444
62F1,0,0,1,-0.770333,0.64242
84F1,0,0,0,0.0692715,-0.027052
88F1,0,0,1,0.272489,-0.510072
50F1,0,0,0,-0.272851875,2.4659425
5F1,1,0,0,-1.3692165,1.2104
9F1,0,0,0,-0.59,-1.829332
55F1,0,1,0,-1.500014,0.074092
53F1,0,1,0,-0.546126,-1.91603
103F1,0,1,0,-0.033597,-0.914148
