X,93F1,33F1,39F1,61F1,49F1,14F1,100F1,38F1,73F1,62F1,84F1,88F1,50F1,5F1,9F1,55F1,53F1,103F1
NC_051336.1 520001-520500,2.13606241,2.49041753,1.977089548,2.378163441,2.746850187,2.624962492,2.737485116,2.359347703,2.316801742,2.41296254,NA,1.944307273,2.752057617,2.534249483,2.370279765,2.305908115,2.305908115,1.303195129
NC_051336.1 2048001-2048500,-5.19862261,-5.097353256,-5.321928095,-5.321928095,-5.122165807,-5.236410024,-5.21887146,-5.176339634,-5.15810603,-5.165835313,-5.321928095,-5.139208974,-5.038391603,-5.106094325,-5.148507387,-5.321928095,-4.958036448,-5.058000249
NC_051336.1 2080001-2080500,-5.054384198,-5.062250789,-5.133493294,-5.152597958,-5.200240437,-5.161494135,-5.138613227,-4.889411672,-4.999069877,-5.113128174,-4.837611654,-5.105345636,-5.270010665,-5.13522161,-4.976279798,-5.126279522,-5.159290441,-5.053555216
NC_051336.1 2144001-2144500,-5.078718308,-5.205067532,-5.175391504,-5.132753511,-5.055382262,-5.136802495,-5.143273006,-4.994726968,-5.134955508,-5.142130407,-4.79502591,-4.987703615,-5.181954585,-5.107739609,-5.054256633,-4.954856127,-4.702526397,-5.104123769
NC_051336.1 2160001-2160500,-5.155043427,-5.111771123,-5.156256118,-5.261154844,-5.067753463,-5.10626,-5.195102041,-5.077911961,-4.961020973,-5.101176555,-5.207094633,-5.133808555,-5.147024031,-5.128220321,-5.282679329,-5.109118453,-5.142703552,-5.119992879
NC_051336.1 2262001-2262500,-5.001965126,-4.885335823,-5.321928095,-5.010593529,-5.101522891,-5.113072748,-4.947324844,-5.014237298,-5.196047882,-5.06666916,-5.133071256,-5.154778898,-5.194045077,-5.113460087,-5.18125457,-5.321928095,-5.136802495,-5.143713395
NC_051336.1 2318001-2318500,-1.490713779,0.548111853,-0.886547164,-1.049584463,-1.269406095,0.016541103,-0.812292798,-0.60952081,-0.910580905,-0.250078234,NA,-5.321928095,0.027995629,-0.277246974,-0.257490244,-2.97219168,-0.057733973,-5.321928095
NC_051336.1 2346001-2346500,-4.608023085,-4.479910212,-4.716767208,-5.022237703,-4.161039711,-4.925383431,-4.948324755,-4.646772642,-4.944970622,-4.711615395,-4.750066404,-4.708945493,-4.27037033,-3.560434915,-4.711895071,-4.670861561,-4.798738934,-4.884195675
NC_051336.1 2424001-2424500,-5.119831529,-5.321928095,-5.321928095,-5.321928095,-4.934534701,-4.816538046,-5.012312274,-5.230876097,-5.321928095,-5.321928095,-5.321928095,-5.116882544,-5.321928095,-5.205309685,-4.943270749,-5.321928095,-5.321928095,-5.08929418
NC_051336.1 2566001-2566500,-2.474495733,-3.120550798,-2.8421883,-2.55828143,-3.07825272,-3.40882919,-2.486386487,-2.770234442,-2.770234442,-2.36125177,-3.323279573,-4.8507023,-2.031817845,-2.609210047,-2.336519774,-3.295145041,-3.792831264,-3.807857117
NC_051336.1 2962001-2962500,-4.782869777,-4.895659755,-4.990992464,-5.066553048,-5.009437004,-5.102040374,-5.134331646,-4.882334563,-5.056283143,-5.080633799,-5.321928095,-5.247394561,-5.036347466,-5.03788805,-5.046733123,-5.134331646,-4.738352332,-5.067132461
NC_051336.1 3168001-3168500,-2.828201257,1.120548878,0.865526909,-0.283118381,0.196216301,1.152885326,0.316658314,0.153157578,-0.155057709,0.710457384,NA,-5.321928095,0.820442109,0.500100017,0.315756302,1.095729498,-0.076575384,NA
NC_051336.1 3198001-3198500,-1.274046338,-0.472624988,-1.524580346,-0.889673093,-1.100262876,-0.500341818,-0.928321918,-0.71822431,-1.024551805,-0.947481119,-0.469594086,-1.524580346,-0.427473354,-0.953919503,-0.774268078,-1.139380633,-0.346878869,-2.813176744
NC_051336.1 3286001-3286500,-5.321928095,-5.096753225,-5.321928095,-5.321928095,-5.1722726,-5.123049263,-5.321928095,-5.321928095,-5.070554096,-5.321928095,-5.321928095,-5.151399844,-4.854647985,-5.091834949,-5.030033808,-5.321928095,-5.321928095,-5.226555843
NC_051336.1 4090001-4090500,-5.016148605,-5.016360617,-5.073335887,-4.988366598,-5.022059715,-4.943270749,-5.171471988,-5.058464681,-5.249782818,-4.969761902,-4.672897125,-4.964993557,-5.159290441,-5.081746495,-5.06942382,-5.19688711,-4.920642639,-5.084375467
NC_051336.1 4168001-4168500,NA,0.841466915,1.944307273,-0.082022292,-0.17757405,0.196216301,0.748183195,0.208664553,0.024181837,0.624096672,NA,-2.609210047,0.47759771,0.308642825,0.62144001,0.311754451,0.979006666,NA
NC_051336.1 4336001-4336500,-5.027738049,-5.321928095,-5.321928095,-4.958036448,-5.321928095,-5.093084601,-5.321928095,-5.140973163,-4.930012792,-5.321928095,NA,-5.321928095,-5.321928095,-5.114995188,-4.717708658,-5.321928095,-4.797507141,-5.321928095
NC_051336.1 4896001-4896500,-4.66623372,-4.513561188,-5.321928095,-4.815005583,-4.643720915,-4.503428202,-4.923500712,-4.512206064,-4.644907584,-4.155540083,-5.321928095,-5.023036058,-4.287462062,-4.485018865,-4.518026223,-4.40240565,-4.196486,-5.014854995
NC_051336.1 5656001-5656500,-4.782254768,-5.321928095,NA,-5.321928095,NA,-5.321928095,-5.321928095,-4.9863696,-5.321928095,-5.321928095,NA,-4.811912364,-5.321928095,-5.321928095,-5.321928095,NA,-5.321928095,-5.321928095
NC_051336.1 7224001-7224500,-5.187313493,-4.763285151,-5.321928095,-5.321928095,-5.321928095,-5.038868287,-5.321928095,-5.204946053,-4.930012792,-5.321928095,-5.321928095,-5.111901996,-5.321928095,-5.048963547,-5.321928095,-3.871685886,-5.321928095,-5.238932072
NC_051336.1 7272001-7272500,-5.165997577,-4.98136453,-5.034519132,-5.143083548,-5.193870436,-4.964740632,-5.104927479,-5.049184611,-5.179833243,-5.142034545,-5.321928095,-5.196701566,-5.053317421,-5.154247252,-5.010809416,-5.321928095,-5.14184249,-5.153038674
